author,catergories,description,headline,isLegacy,linkToArticle,outletName,publishDate,sentimentScore
Katrina Beavan,"[""Energy Industry"",""Alternative Energy"",""Solar Energy"",""Wind Energy""]","The build for a green hydrogen manufacturing hub is now underway in central Queensland, as Andrew Forrest confirms a separate $3 billion investment in a solar, wind and battery farm, in the same region.","Andrew Forrest begins work on green hydrogen hub, confirms $3b for renewables farm",false,https://www.abc.net.au/news/2022-02-28/andrew-forrest-begins-work-on-green-hydrogen-hub-in-gladstone/100865988,ABC News,2022-02-27T21:17:57.000Z,0
Ben Millington,"[""Air Pollution"",""Coal"",""Electricity Energy and Utilities"",""Environmental Health""]","The early closure of coal-fired power stations is expected to prevent deaths, reduce asthma attacks, and save hundreds of millions of dollars in health costs.","'The air will be cleaner the next day': The health benefits of closing Australia's coal-fired power stations",false,https://www.abc.net.au/news/2022-02-28/health-financial-benefits-of-eraring-coal-power-station-closure/100850610,ABC News,2022-02-27T21:10:19.000Z,0.5106
Lauren Roberts,"[""Indigenous (Aboriginal and Torres Strait Islander)"",""COVID-19"",""Vaccines and Immunity"",""State and Territory Parliament"",""Community and Society""]","The NT's peak Aboriginal health body is calling for ""urgent action"" to boost remote vaccination rates — especially in Central Australia and the Barkly region — before the NT continues to wind back public health measures.","As NT's restrictions ease, experts say its 'critical' to improve remote booster rates",false,https://www.abc.net.au/news/2022-02-28/amsant-remote-covid-vaccination-booster-rates/100855114,ABC News,2022-02-27T20:39:54.000Z,0.6597
Sally Rafferty,"[""Grocery"",""Diet and Nutrition""]","As consumers look at alternatives to cut down their grocery bills, dieticians warn cutting out meat is not a decision that should be made lightly.","Can't afford meat? Experts warn cutting out meat could be dangerous",false,https://www.abc.net.au/news/2022-02-28/experts-warning-on-expensive-meat/100857906,ABC News,2022-02-27T20:39:14.000Z,-0.6124
Peta Fuller,null,"Here's your TL;DR for this morning's news.","The Loop: Putin puts nuclear forces on high alert, flood death toll rises, and SNL gets serious",false,https://www.abc.net.au/news/2022-02-28/latest-news-russia-ukraine-nuclear-floods-queensland/100866634,ABC News,2022-02-27T20:36:57.000Z,-0.4588
Kath Sullivan,"[""Federal Government"",""Murray-Darling Basin"",""Irrigation"",""Environmental Policy""]","Federal Labor hints it will seek to tear up a major agreement about how water could be recovered for the environment across the Murray-Darling Basin if it wins this year's election.","Opposition hints at changes, but will 'uphold the letter and spirit' of Murray-Darling Basin Plan",false,https://www.abc.net.au/news/rural/2022-02-28/labor-holds-out-on-murray-darling-basin-plan-policy/100857968,ABC News,2022-02-27T20:32:46.000Z,0.2617
Steve Cannane,"[""World Politics"",""Unrest, Conflict and War""]","Anastasia Rodina is one of the thousands of young Russians who have taken to the streets to protest against Vladimir Putin’s war on Ukraine. But in defying the might of the Kremlin, many risk their safety, freedom and future.","'You can be beaten by policemen': The Russian protesters willing to pay a hefty price to defy Putin's war",false,https://www.abc.net.au/news/2022-02-28/inside-the-resistance-to-vladimir-putin-s-invasion-of-ukraine/100866594,ABC News,2022-02-27T20:13:53.000Z,-0.8402
Michael Janda and Peter Ryan,"[""Energy Industry"",""Oil and Gas"",""Banking"",""Economic Sanctions""]","Russia is being dealt more financial blows, with Australian billionaire Andrew Forrest pulling back on hydrogen investments there, while oil giant BP and Norway's sovereign wealth fund are also divesting from the country.","Forrest pulls back on Russian investments, while BP may take $US25 billion hit to exit the country",false,https://www.abc.net.au/news/2022-02-28/bp-to-sell-rosneft-stake-as-banks-block-commodities-trade/100866712,ABC News,2022-02-27T21:29:12.000Z,0
null,"[""Soccer World Cup"",""Sport"",""Unrest, Conflict and War""]","After being criticised for their initial move to ban games in Russia, FIFA and UEFA unite to suspend Russia from international football, all but ruling them out of the men's World Cup.","FIFA, UEFA suspend Russian teams from international football after initial half-measure",false,https://www.abc.net.au/news/2022-03-01/fifa-uefa-ban-russia-after-initial-half-measure/100870308,ABC News,2022-02-28T21:05:54.000Z,-0.3182
Sue Lannin,"[""Company News"",""Markets"",""Money and Monetary Policy"",""Takeovers"",""Globalisation - Economy""]","Wall Street falls in volatile trade amid new financial sanctions on Russia, which have seen the country's central bank more than double its key interest rate overnight.",Russia doubles interest rates as markets tumble amid financial sanctions,false,https://www.abc.net.au/news/2022-03-01/asx-wall-street-markets-currencies-commodities/100870276,ABC News,2022-02-28T20:50:52.000Z,0.4588
